,Unnamed: 0,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time,Reputation,AgeOfAccount,TweetPerDay,TweetPerFollower,AgeByFollowing
63,63,1331404556.0,AnjanaPed,2013-06-04 11:48:00,45,1108,796.0,0,0.233333333,0.4,2.0,1162.0,1.4333333330000002,11218,0,2021-07-06 16:08:28,797.0,2954.1808796296295,3.7973301084415723,10.12,3.7112825120975246
64,64,1712709144.0,SkochSameer,2013-08-30 13:19:00,160,126294,1723.0,India,0.833333333,2.5,10.16666667,2545.233333,16.66666667,7697,0,2021-07-06 16:08:28,1724.0,2867.117685185185,2.684577629921339,0.06,1.6640265149072462
65,65,7.23e+17,mobobistudios,2016-04-20 23:02:00,0,6679,3.0,0,0.166666667,0.533333333,1.0,1.466666667,5.266666667,55,0,2021-07-06 16:08:28,4.0,1902.712824074074,0.028906096234866608,0.01,634.2376080246913
66,66,7.23e+17,mobobistudios,2016-04-20 23:02:00,0,6678,3.0,0,0.166666667,0.533333333,1.0,1.466666667,5.266666667,55,0,2021-07-06 16:08:28,4.0,1902.712824074074,0.028906096234866608,0.01,634.2376080246913
67,67,3108258452.0,TAHLKANEWS,2015-03-26 12:06:00,129,2188,514.0,लखनऊ,0.0,1.0,0.0,0.0,0.0,96643,0,2021-07-06 16:08:28,515.0,2294.1683796296297,42.12550432571215,44.17,4.463362606283327
68,68,2318958582.0,rakeshbjpup,2014-01-30 14:05:00,82,3505,598.0,"Lucknow, India",0.233333333,0.5,1.6,150.0333333,80.33333333,5650,0,2021-07-06 16:08:28,599.0,2714.0857407407407,2.0817323178810025,1.61,4.538604917626657
69,69,9.71e+17,CyberDost,2018-05-03 09:27:00,156,54217,76.0,India,9.6,6.4,4.8,704.2666667000002,2009.0666670000005,432,0,2021-07-06 16:08:28,77.0,1160.2787962962964,0.3723243080705938,0.01,15.266826267056532
70,70,7.93e+17,spgrpjhansi,2016-01-11 10:14:00,80,2372,90.0,"Jhansi, India",0.0,0.7666666670000001,5.966666667,0.1,1.6,1653,0,2021-07-06 16:08:28,91.0,2003.2461574074075,0.8251606992419271,0.7,22.25829063786008
71,71,1.01e+18,kumbhMelaPolUP,2018-06-16 17:14:00,102,10433,21.0,"Sangam, Prayagraj",4.0,1.2,13.46666667,821.4666667,108.6666667,1385,0,2021-07-06 16:08:28,22.0,1115.9544907407408,1.241090036817428,0.13,53.14069003527337
72,72,305086188.0,NBTMumbai,2011-05-25 16:27:00,90,7558,63.0,Mumbai,0.133333333,0.7666666670000001,0.833333333,1.2,0.0,37578,0,2021-07-06 16:08:28,64.0,3694.9871296296296,10.16999482857919,4.97,58.650589359200474
73,73,444481070.0,AtulGargBJP,2011-12-23 09:14:00,133,17890,79.0,Ghaziabad,0.566666667,0.666666667,0.7,124.7,19.66666667,1726,0,2021-07-06 16:08:28,80.0,3483.2878240740743,0.49550886609802464,0.1,44.09225093764651
74,74,1.03e+18,sdrf_up,2018-09-08 12:12:00,135,582,122.0,"Lucknow, India",0.6,0.5,0.6,9.166666667000001,27.16666667,20,0,2021-07-06 16:08:28,123.0,1032.164212962963,0.019376761709832366,0.03,8.460362401335761
75,75,4738670125.0,UD197,2016-10-01 14:16:00,107,417,230.0,0,0.033333333,0.3666666670000001,4.866666667,338.7666667,0.966666667,1695,0,2021-07-06 16:08:28,231.0,1739.078101851852,0.9746543287475614,4.06,7.561209138486313
76,76,7.75e+17,SantoshMahiLko,2016-11-09 07:35:00,0,809,178.0,0,0.8,0.466666667,1.1,364.1,0.966666667,694,0,2021-07-06 16:08:28,179.0,1700.3565740740742,0.4081496849435339,0.86,9.552565022888057
77,77,9.3e+17,devmuraribapu65,2017-11-13 12:45:00,127,92,147.0,"Vrindavan, India",0.033333333,0.6333333329999999,0.7,0.033333333,0.7,22,0,2021-07-06 16:08:28,148.0,1331.1412962962963,0.016527171128423213,0.24,9.055382968002016
78,78,9.63e+17,wpl1090,2018-12-02 08:31:00,103,3297,4.0,"Uttar Pradesh, India",0.0,0.2,3.4,0.8,2.733333333,758,0,2021-07-06 16:08:28,5.0,947.3176851851852,0.8001539629779247,0.23,236.8294212962963
